bidding,SC_obj,ESS,GEN,WIND_STR,SW,Avg_MP,ϵ1,ϵ2,confirmedNE,solver
complex,"fav_demand,primal",202.4807665754453,393.9236816836288,253.583602921054,13926.098925784414,36.25375840029696,1,1,false,"OptimizerFactory(KNITRO.Optimizer, (), Base.Iterators.Pairs(:hessian_no_f=>1,:datacheck=>0,:outlev=>0))"
complex,"ESS_fav,primal",359.76899543600075,492.7992374863653,256.9471283955488,13949.818063764227,41.244444170168435,1,1,false,"OptimizerFactory(KNITRO.Optimizer, (), Base.Iterators.Pairs(:hessian_no_f=>1,:datacheck=>0,:outlev=>0))"
quantity,"fav_demand,primal",232.92766108547684,419.3709478947289,287.3478461030547,13967.91878269189,36.84778667404755,1,1,false,"OptimizerFactory(KNITRO.Optimizer, (), Base.Iterators.Pairs(:hessian_no_f=>1,:datacheck=>0,:outlev=>0))"
quantity,"ESS_fav,primal",364.4559055651355,477.9956948622276,288.4474960745022,13970.814850381012,41.24673329580021,1,1,false,"OptimizerFactory(KNITRO.Optimizer, (), Base.Iterators.Pairs(:hessian_no_f=>1,:datacheck=>0,:outlev=>0))"
quantity,"empty,primal",332.7011452937129,506.0881906184032,307.88860151806443,13987.090058230991,41.24470628057674,1,1,false,"OptimizerFactory(KNITRO.Optimizer, (), Base.Iterators.Pairs(:hessian_no_f=>1,:datacheck=>0,:outlev=>0))"
quantity,"collusive,primal",328.36281794445927,525.2476258626593,315.3007507596596,14008.303615254816,41.26031773809463,1,1,false,"OptimizerFactory(KNITRO.Optimizer, (), Base.Iterators.Pairs(:hessian_no_f=>1,:datacheck=>0,:outlev=>0))"
complex,"competitive,primal",327.6854948789696,523.9884331047945,317.89554727013063,14010.103374571263,41.24378679476315,1,1,false,"OptimizerFactory(KNITRO.Optimizer, (), Base.Iterators.Pairs(:hessian_no_f=>1,:datacheck=>0,:outlev=>0))"
complex,"MPEC_WIND,dual",247.18421052631328,450.0000000000227,292.7500000000055,14010.103374571263,41.24378679476315,0,0,false,"OptimizerFactory(Gurobi.Optimizer, (), Base.Iterators.Pairs{Union{},Union{},Tuple{},NamedTuple{(),Tuple{}}}())"
complex,"MPEC_ESS,dual",328.03421052631586,479.99999999999994,305.95000000000005,14010.103374571263,41.24378679476315,0,0,false,"OptimizerFactory(Gurobi.Optimizer, (), Base.Iterators.Pairs{Union{},Union{},Tuple{},NamedTuple{(),Tuple{}}}())"
complex,"MPEC_GEN,dual",247.18421052632632,449.2500000000058,294.5000000000026,14010.103374571263,41.24378679476315,0,0,false,"OptimizerFactory(Gurobi.Optimizer, (), Base.Iterators.Pairs{Union{},Union{},Tuple{},NamedTuple{(),Tuple{}}}())"
