bidding;SC_obj;ESS;GEN;WIND_STR;SW;Avg_MP;?1;?2;confirmedNE;solver;prod_surp
MCP;NA;177,6;325,0;213,9;14271,1;28,1;0;0;FALSE;Gurobi;716,4
PC-MPPDC;empty;373,4;508,5;334,0;14033,2;43,8;10;0;TRUE;KNITRO_ALG:1;1215,9
SCR-NCP;competitive;217,3;609,0;278,4;14252,8;37,1;10;10;FALSE;KNITRO_ALG:1;1104,8
SCR-NCP;competitive;185,7;705,6;290,2;14201,5;38,1;1;1;FALSE;KNITRO_ALG:1;1181,5
SCR-NCP;collusive;101,8;847,2;277,3;14066,2;41,3;10;10;FALSE;KNITRO_ALG:1;1226,3
SCR-NCP;collusive;89,0;822,0;325,9;14085,1;42,7;1;1;FALSE;KNITRO_ALG:3;1236,9
SCR-NCP;ESS_fav;327,9;533,0;152,9;14152,1;35,6;1;1;FALSE;KNITRO_ALG:1;1013,8
SCR-NCP;ESS_fav;435,4;476,4;230,1;14031,5;38,7;10;10;FALSE;KNITRO_ALG:1;1142,0
SCR-NCP;empty;210,4;500,1;206,3;14219,2;35,2;1;1;FALSE;KNITRO_ALG:1;916,9
SCR-NCP;empty;265,4;693,4;253,0;14058,4;41,2;10;10;FALSE;KNITRO_ALG:1;1211,8
