bidding,SC_obj,ESS,GEN,WIND_STR,SW,Avg_MP,ϵ1,ϵ2,confirmedNE,solver,prod_surp
SCR-NCP,ESS_fav,426.82894713345354,575.3897312363156,223.1314203652102,14065.250320310508,41.24999375574424,10.0,10.0,false,KNITRO,1225.3500987349794
SCR-NCP,ESS_fav,485.07894669431994,295.6603968642062,163.54973587100335,13697.340260132527,46.24996065894484,50.0,50.0,false,KNITRO,944.2890794295295
PC-MOPEC,NA,207.96983467180746,737.0619545111317,317.95169284642867,14102.872499682693,41.25019066105176,10.0,0.0,false,KNITRO,1262.983482029368
SCR-NCP,collusive,185.7603207490302,668.0522880507774,281.4235511071072,14132.536159891304,40.62500000010238,10.0,10.0,false,KNITRO,1135.2361599069147
SCR-NCP,collusive,158.00752590224934,749.8654474409933,281.05940047056356,14019.610124633391,43.75000032898756,50.0,50.0,false,KNITRO,1188.9323738138062
SCR-NCP,competitive,185.7583451572783,705.6884942613914,290.19831953396863,14201.5623255678,38.12477659266612,10.0,10.0,false,KNITRO,1181.6451589526382
SCR-NCP,competitive,235.55359770371052,609.2062104725243,268.60621954737314,14252.878948264715,35.62591739194134,50.0,50.0,true,KNITRO,1113.366027723608
SCR-NCP,empty,275.69613265008763,680.1441635771265,286.67483128295277,14082.432678603835,41.25137990388147,10.0,10.0,true,KNITRO,1242.5151275101668
SCR-NCP-PC,empty,315.2386169541975,620.1170082847977,317.8302396215867,14093.06518107666,41.25057090861028,10.0,10.0,false,KNITRO,1253.185864860582
SCR-NCP,empty,114.36812932924502,830.6846720250198,317.8285064041178,14102.802993050282,41.25000312058465,20.0,20.0,false,KNITRO,1262.8813077583827
SCR-NCP-PC,empty,294.00657093811037,602.9425225180424,243.8191439323412,14173.625583031671,38.75047868765541,20.0,20.0,false,KNITRO,1140.768237388494
MCP,NA,177.57894736842252,325.0000000000041,213.85000000000082,14271.07894736842,28.1250000000001,0.0,0.0,true,GUROBI,716.4289473684274
PC-MOPEC,NA,142.23925133778127,802.7890193107175,317.9510341216369,14271.07894736842,28.1250000000001,1.0,0.0,false,KNITRO,1262.9793047701357
