bidding,SC_obj,ESS,GEN,WIND_STR,SW,PS,Avg_MP,ϵ1,ϵ2,confirmedNE,solver,ESSᴰ,GENᴰ,WIND_STRᴰ
MCP,NA,177.57894736842252,325.0000000000041,213.85000000000082,14271.07894736842,716.4289473684274,28.1250000000001,0.0,0.0,true,GUROBI,0.0,0.0,0.0
SCR-NC,empty,229.69429860407993,721.0618781596226,295.2910653893055,14085.95612726124,1246.047242153008,41.25048015330102,1.0,1.0,false,KNITRO,0.0,0.0,0.0
SCR-NC,empty,189.1739165090855,752.8520086091729,287.1786854555865,14069.110020047297,1229.204610573845,41.2499127296919,2.0,2.0,false,KNITRO,0.0,0.0,0.0
SCR-NC,empty,248.32130112732565,706.3003887637972,288.4767811667424,14083.014856372145,1243.0984710578653,41.25118140808189,3.0,3.0,false,KNITRO,0.0,0.0,0.0
SCR-NC,empty,119.0783098564882,498.27786414534154,277.48973341618847,14213.749227684351,894.8459074180182,37.49994538331133,4.0,4.0,false,KNITRO,0.0,0.0,0.0
SCR-NC,empty,122.04684505653944,389.9262376080818,258.69789339939007,14209.173561640648,770.6709760640113,35.00004638459227,5.0,5.0,false,KNITRO,0.0,0.0,0.0
SCR-NC,empty,216.67122125458548,732.3495697968349,300.34549311366015,14089.275762743997,1249.3662841650805,41.250080085349055,6.0,6.0,false,KNITRO,0.0,0.0,0.0
SCR-NC,empty,263.7237493818408,676.544728645556,317.86364996935157,14098.046027871627,1258.1321279967483,41.25052102503459,7.0,7.0,false,KNITRO,0.0,0.0,0.0
SCR-NC,empty,272.08499763680913,665.7584586419721,317.87205464336586,14095.625662170296,1255.7155109221471,41.25072831163283,8.0,8.0,false,KNITRO,0.0,0.0,0.0
SCR-NC,empty,295.45793311600505,657.7766517485489,291.27905056882804,14084.440954220334,1244.513635433382,41.25206417623017,9.0,9.0,false,KNITRO,0.0,0.0,0.0
SCR-NC,empty,275.69613265008763,680.1441635771265,286.67483128295277,14082.432678603835,1242.5151275101668,41.25137990388147,10.0,10.0,false,KNITRO,0.0,0.0,0.0
SCR-NC,empty,273.13170456581406,692.0502495797854,287.0987864982096,14092.190330445632,1252.2807406438092,41.250168414674775,11.0,11.0,false,KNITRO,0.0,0.0,0.0
SCR-NC,empty,335.6485951786595,646.5707968563502,259.2161479991623,14081.350060364914,1241.435540034172,41.25017682934804,13.0,13.0,false,KNITRO,0.0,0.0,0.0
SCR-NC,empty,254.5297285617582,688.1501521113487,307.0691294032392,14089.671133514523,1249.7490100763462,41.25172807795926,14.0,14.0,false,KNITRO,0.0,0.0,0.0
SCR-NC,empty,271.5280323418109,682.6365053877015,288.9328794769408,14083.01722437872,1243.0974172064532,41.25178041564124,15.0,15.0,false,KNITRO,0.0,0.0,0.0
SCR-NC,empty,121.31567083161548,823.7493572084991,317.80235344495236,14102.788396034066,1262.867381485067,41.249589483859786,16.0,16.0,false,KNITRO,0.0,0.0,0.0
