bidding,SC_obj,ESS,GEN,WIND_STR,SW,PS,Avg_MP,ϵ1,ϵ2,confirmedNE,solver,ESSᴰ,GENᴰ,WIND_STRᴰ
SCR-NC,ESS_fav,465.0789473386324,481.7314557639064,147.4886022721292,13895.951684399706,1094.299005374668,43.12492076211966,15.0,15.0,false,KNITRO,261.6854110781417,569.8902856063834,213.84999999999883
SCR-NC,ESS_fav,456.52894981658966,422.13760758481556,233.62671322566274,13922.494271665655,1112.293270627068,43.12496992129257,16.0,16.0,false,KNITRO,287.2272629238083,572.0796221980902,242.48429584944657
SCR-NC,ESS_fav,465.07894811367674,416.0973509198546,243.12713157646363,13925.953710493584,1124.3034306099948,43.12499274035601,17.0,17.0,false,KNITRO,287.42224465011157,463.7153748459468,254.46761549583186
SCR-NC,ESS_fav,465.0969455712062,413.44478295288684,247.30322915250588,13927.464074549865,1125.8449576765988,43.125518437394845,18.5,18.5,false,KNITRO,287.42859209375814,463.710347390833,242.5
SCR-NC,ESS_fav,465.07894717777776,400.71418652446675,267.2935683471416,13934.73820344959,1133.086702049386,43.12495657124162,19.0,19.0,false,KNITRO,287.42554162794875,463.71269319121143,242.5
SCR-NC,ESS_fav,426.8289399220172,611.9005253204864,169.5845550668931,14048.21993624871,1208.3140203093965,41.249825011555856,19.5,19.5,false,KNITRO,259.34308947593274,463.69741872000577,217.00350091769945
SCR-NC,ESS_fav,465.0789486670226,434.152881479447,224.95511465232832,13925.837727077587,1124.1869447987979,43.12497725842455,21.0,21.0,false,KNITRO,271.8214343085697,463.70501156048977,225.84383696453438
SCR-NC,ESS_fav,426.82894739137413,613.092148790069,171.28332686479604,14051.107234529567,1211.204423046239,41.24991353808663,21.5,21.5,false,KNITRO,258.6832657036601,463.6995334038003,220.34404981988058
SCR-NC,ESS_fav,426.8289474442971,508.5111470858684,317.90912502362863,14093.152178097142,1253.249219553794,41.24991109936198,22.0,22.0,false,KNITRO,299.1417807614191,463.7000418444957,242.4878773429939
SCR-NC,ESS_fav,465.0789029096255,415.12593163521944,244.6568666455901,13926.514475339027,1124.861701190435,43.12492075371856,22.5,22.5,false,KNITRO,287.426882813682,463.7094678865644,242.5
SCR-NC,ESS_fav,465.0789467002275,446.2133296040323,111.3559559231417,13824.298808722597,1022.6482322274014,43.12498595554844,23.0,23.0,false,KNITRO,264.38314578964525,463.7054434659773,219.81440358739533
SCR-NC,ESS_fav,485.07894656988407,262.55684059522275,240.55403403857315,13763.842141432484,988.18982120368,43.74993150432216,24.0,24.0,false,KNITRO,288.14760565965355,463.7077646116386,242.48675586763056
SCR-NC,ESS_fav,426.82894598354164,533.344086467457,278.8928791677435,14078.967772159805,1239.0659116187421,41.24994606986322,24.5,24.5,false,KNITRO,303.7957227365071,556.2523458946766,242.48536186618932
SCR-NC,ESS_fav,426.82894674534896,596.8272658173513,188.03849763996706,14051.596928339643,1211.6947102026672,41.24992858708663,25.0,25.0,false,KNITRO,272.3842335032754,556.2500002817062,213.8499999999991
