bidding,ESS,GEN,WIND_STR,SW,PS,Avg_MP,ϵ1,confirmedNE,solver,ESSᴰ,GENᴰ,WIND_STRᴰ
PC-MOPEC,159.35939598717422,786.4243541221886,318.0887500122627,14102.872500018566,1263.8725001216255,41.26562500267453,1.0,false,KNITRO,247.60609946498022,580.8501724384075,232.22853185595568
PC-MOPEC,147.6253595021948,797.9680758805861,318.0540619348619,14102.872499768278,1263.6474973176428,41.26171870375719,1.5,false,KNITRO,235.1124872871164,588.8356074885827,232.22853183508633
PC-MOPEC,146.17943122873064,799.6043188231592,318.0887500322216,14102.872499999154,1263.8725000841114,41.26562500126937,2.0,false,KNITRO,224.322276031118,564.6683186488134,237.84999999999621
PC-MOPEC,171.4670395708272,774.5070149504159,318.1234353915269,14102.872499367195,1264.09748991277,41.26953107253941,2.5,false,KNITRO,242.7237232463869,566.8379536994138,242.5
PC-MOPEC,147.7177945783671,797.875643046681,318.0540625555226,14102.872500015268,1263.6475001805707,41.2617187528139,3.0,false,KNITRO,241.92997642047038,588.7208252447319,232.22853185595505
PC-MOPEC,142.87658565540653,802.8120082079461,318.07140629996786,14102.87250000793,1263.7600001633205,41.263671877589125,3.5,false,KNITRO,239.78962502228134,590.9010561661639,232.22853185595505
PC-MOPEC,151.4561667312292,794.32758334037,318.08875003917825,14102.872500005222,1263.8725001107773,41.26562500166822,4.0,false,KNITRO,244.1705236323416,585.6177934517643,232.22853185595505
PC-MOPEC,132.37867881320923,813.500214691467,318.1060902718895,14102.872498650073,1263.9849837765657,41.267577847470385,4.5,false,KNITRO,238.42251675299423,597.6901455290567,232.22853185595503
PC-MOPEC,145.21214425372273,800.7619182364724,318.1234375166918,14102.872500001165,1264.097500006887,41.269531249873694,5.0,false,KNITRO,240.2648859742593,587.4365081686265,232.2285318559551
PC-MOPEC,144.84386341130596,800.7019960750437,318.04539067556334,14102.872500008614,1263.591250161913,41.260742190071014,5.5,false,KNITRO,234.36907044860195,591.1935600747848,232.22853182938857
PC-MOPEC,156.7269613380919,788.8664668195854,318.0540598907,14102.872498862947,1263.6474880483772,41.26171854804868,6.0,false,KNITRO,227.4091572193392,587.5945446693213,254.49999999999346
PC-MOPEC,147.93579490723602,797.7527697866949,318.0713979688213,14102.872496322263,1263.759962662752,41.26367124339726,7.0,false,KNITRO,237.6027676918245,589.132011863049,232.22853160470396
PC-MOPEC,170.02850980674526,775.7076621780741,318.0800781763403,14102.872500009524,1263.8162501611596,41.26464844004718,7.5,false,KNITRO,249.82525609347022,579.3797990216739,242.5
PC-MOPEC,141.818270581335,803.9654793661757,318.08875000213084,14102.8725000356,1263.8724999496417,41.26562499788531,8.0,false,KNITRO,234.55563142085543,593.0686150209626,232.22853185595534
PC-MOPEC,153.10439833203918,792.7268829841461,318.0974096798659,14102.87249691256,1263.928690996051,41.266600518919724,8.5,false,KNITRO,234.38828453206264,585.7720417603122,232.22853168603797
PC-MOPEC,135.8977546546442,809.981151734286,318.1060938084334,14102.872500012072,1263.9850001973634,41.26757812817001,9.0,false,KNITRO,238.89697337425292,596.0203679953931,232.2285318559551
PC-MOPEC,140.86677862346428,805.0597059692335,318.11476569465947,14102.872499999994,1264.0412502873573,41.26855469237434,9.5,false,KNITRO,242.25749242646776,593.4288319713348,232.228531855955
PC-MOPEC,185.1289219869297,707.445098333674,334.1234252769882,14042.872495421034,1226.697445597592,43.769530302245755,10.0,false,KNITRO,251.14986195930408,561.7346812933347,242.5
