bidding,SC_obj,ESS,GEN,WIND_STR,SW,PS,Avg_MP,ϵ1,ϵ2,confirmedNE,solver,ESSᴰ,GENᴰ,WIND_STRᴰ
SCR-NC,competitive,137.57436082473748,819.442493821819,289.9498177544819,14086.872499164485,1246.9666724010383,41.249974893128325,3.0,3.0,false,KNITRO,205.14630097797567,560.8494242596848,254.4999999999988
SCR-NC,competitive,165.01961991293638,779.992488150554,317.9489263396885,14102.872499968165,1262.961034403179,41.24985549640527,3.5,3.5,false,KNITRO,245.3673026587743,543.1239226982688,233.95706371189354
SCR-NC,competitive,192.7220391522901,752.2917058362738,317.9492925682653,14102.872499997782,1262.9630375568292,41.24991024884307,4.0,4.0,false,KNITRO,261.5092766045114,533.1467283269753,232.22853185595264
SCR-NC,competitive,191.49925490559733,577.2139637338136,287.8014625904479,14184.83088668465,1056.5146812298588,38.125228795480304,4.5,4.5,false,KNITRO,200.56019333132184,564.9500010075008,251.76999999999998
SCR-NC,competitive,216.40626733857331,605.6980753733616,271.8075490682003,14244.830886958642,1093.9118917801352,35.62613205294794,6.0,6.0,false,KNITRO,235.578947313692,564.95,251.76999999999992
SCR-NC,competitive,185.75950397995112,705.6923676786188,290.19889694908983,14201.562326773654,1181.6507686076598,38.12485347620179,6.5,6.5,false,KNITRO,235.57894733782408,564.95,251.7699999975992
SCR-NC,competitive,185.75718611377732,705.6856457638529,290.1975706566236,14201.562326850997,1181.6404025342538,38.1246928147722,7.0,7.0,false,KNITRO,235.57894736834,564.9500000034359,251.77000000000092
SCR-NC,competitive,185.7591205654463,705.6922901330358,290.1989368059231,14201.562325724974,1181.6503475044053,38.124863245657174,7.5,7.5,false,KNITRO,235.57894248610253,564.9500034873819,251.76999999999992
SCR-NC,competitive,165.85324571297778,779.1538447664904,317.948173100058,14102.872499803452,1262.9552635795262,41.24977395118609,8.5,8.5,false,KNITRO,242.11063176471265,539.4276521023185,272.89999990229256
SCR-NC,competitive,185.7583451572783,705.6884942613914,290.19831953396863,14201.5623255678,1181.6451589526382,38.12477659266612,10.0,10.0,false,KNITRO,235.5789457130517,564.9500022726536,251.76999999999975
SCR-NC,competitive,185.75987966513298,705.6938950846892,290.19914699527556,14201.562326829964,1181.6529217450977,38.12488850438593,11.0,11.0,false,KNITRO,235.57894734703424,609.2000000178405,242.5
SCR-NC,competitive,205.89565501178504,739.1194272312105,317.94931010772757,14102.872499780362,1262.964392350723,41.24990717260856,11.5,11.5,false,KNITRO,273.89433453752235,641.030951236124,233.9570637119122
SCR-NC,competitive,185.75980020111504,705.6929360881643,290.1989441319218,14201.562327178006,1181.651680421201,38.12485774609469,12.0,12.0,false,KNITRO,235.5789475908889,609.2000030383361,230.49999999999923
SCR-NC,competitive,191.729043404198,753.284703643136,317.94951757667417,14102.87249993085,1262.9632646240082,41.249928730229776,12.5,12.5,false,KNITRO,274.0127443751638,523.5445060293096,242.50000000000009
SCR-NC,competitive,178.57334562407704,766.4401432339586,317.9494469735345,14102.872499892697,1262.9629358315701,41.24992071661917,13.0,13.0,false,KNITRO,258.1587734587008,574.0382885809511,242.5
SCR-NC,competitive,218.81812862070348,726.1984153450844,317.9489110981554,14102.87249981627,1262.9654550639432,41.2498534829086,13.5,13.5,false,KNITRO,207.49486021444798,563.689152823159,237.83932906187277
SCR-NC,competitive,177.87871539446292,767.1337060962153,317.9489530584498,14102.872499989635,1262.9613745491279,41.24986424833115,14.0,14.0,false,KNITRO,251.69859807191523,529.4021817150222,254.49999999999864
SCR-NC,competitive,185.75912826597983,705.6920816500407,290.1988825286573,14201.562326930663,1181.6500924446777,38.12484718488578,15.0,15.0,false,KNITRO,235.57894736842118,647.3207050213422,232.2285318295488
SCR-NC,competitive,185.75885245901532,705.6927589661276,290.1990927250338,14201.562326863737,1181.6507041501768,38.124880975653674,16.0,16.0,false,KNITRO,235.5789473684211,609.2000000001381,242.5
SCR-NC,competitive,211.23731567932433,610.8696547992527,271.8062141137796,14244.830886400006,1093.9131845923566,35.62592823749899,16.5,16.5,false,KNITRO,235.57894725260505,564.9500003321473,251.77000023337357
SCR-NC,competitive,226.18116495048284,618.587560262576,268.5992584026751,14252.878948876489,1113.367983615734,35.624893785296244,17.0,17.0,false,KNITRO,235.57894736920565,564.9500000012118,229.84990524904794
SCR-NC,competitive,235.5724574177064,609.1906630543012,268.59905380307464,14252.87894731061,1113.3621742750822,35.6248901317478,17.5,17.5,true,KNITRO,235.57894736512853,609.2000000500229,242.5
SCR-NC,competitive,225.5363651658772,619.2318040705804,268.599205338368,14252.878947406718,1113.3673745748256,35.62488578454088,18.0,18.0,false,KNITRO,235.57894737456635,564.9500000257999,228.34565783530425
SCR-NC,competitive,182.7627721350135,762.2498840694209,317.95062313856033,14102.87249999998,1262.9632793429946,41.250104435951044,18.5,18.5,false,KNITRO,223.7628575855755,567.01280008567,254.483365433638
SCR-NC,competitive,225.49973217575513,619.2522496263009,268.60662527828447,14252.878947065114,1113.3586070803403,35.625981511867074,19.0,19.0,false,KNITRO,235.57894733959975,609.2000001824431,242.5
SCR-NC,competitive,213.17448549655717,608.9344783385224,271.8039197039062,14244.830886423228,1093.9128835389856,35.6255872673837,19.5,19.5,false,KNITRO,235.57894730792222,593.9000000232489,232.2285316845436
SCR-NC,competitive,211.60733730634522,633.1652921337686,268.59950392756673,14252.878946972058,1113.3721333676806,35.62492845685466,21.0,21.0,false,KNITRO,235.57894637297255,609.2000000000372,242.5
SCR-NC,competitive,203.54355329004386,618.5797987948806,271.7987327202342,14244.82871695624,1093.9220848051586,35.625102960221604,21.5,21.5,false,KNITRO,235.57995394199696,609.1997779177527,242.5000007189951
SCR-NC,competitive,225.8634002049295,618.9065274686302,268.6000218900081,14252.878947282536,1113.3699495635678,35.625007970635,22.0,22.0,false,KNITRO,235.5789473562874,564.95,251.76999998425038
SCR-NC,competitive,204.44075385678062,617.6791172952121,271.80185750456747,14244.83088916581,1093.9217286565602,35.6252833342101,22.5,22.5,false,KNITRO,235.57894666390274,564.950000412755,242.5
SCR-NC,competitive,226.86797337179237,617.8807924254597,268.61035727973155,14252.878947351248,1113.3591230769837,35.62654754102785,23.0,23.0,false,KNITRO,235.57894738492473,564.9500000194699,231.51534361938542
