bidding,SC_obj,ESS,GEN,WIND_STR,SW,PS,Avg_MP,ϵ1,ϵ2,confirmedNE,solver,ESSᴰ,GENᴰ,WIND_STRᴰ
SCR-NC,empty,229.69429860407993,721.0618781596226,295.2910653893055,14085.95612726124,1246.047242153008,41.25048015330102,1.0,1.0,false,KNITRO,191.29652915933283,560.8270111940102,254.12157403779702
SCR-NC,empty,246.18811282751474,709.1606068086317,288.38189375972433,14083.632906292085,1243.7306133958707,41.24995811173031,1.5,1.5,false,KNITRO,205.4090363773733,502.16821536778673,242.48673610798005
SCR-NC,empty,189.1739165090855,752.8520086091729,287.1786854555865,14069.110020047297,1229.204610573845,41.2499127296919,2.0,2.0,false,KNITRO,235.58075927908328,464.91926867040945,242.44299202387518
SCR-NC,empty,177.4142492778527,722.8362776295744,287.33198148656845,14004.89179286343,1187.5825083939956,43.74980477605638,2.5,2.5,false,KNITRO,235.58492068397518,443.31959323675176,230.47375400074708
SCR-NC,empty,248.32130112732565,706.3003887637972,288.4767811667424,14083.014856372145,1243.0984710578653,41.25118140808189,3.0,3.0,true,KNITRO,231.3069479610033,571.6613248821095,254.5
SCR-NC,empty,192.6174592500569,465.05721122097316,167.7311914967542,14113.709739084275,825.4058619677842,35.62513353784668,3.5,3.5,false,KNITRO,235.5861245113764,512.0144757651886,211.69128963948015
SCR-NC,empty,119.0783098564882,498.27786414534154,277.48973341618847,14213.749227684351,894.8459074180182,37.49994538331133,4.0,4.0,false,KNITRO,205.47249688483558,512.0026796532866,237.84783911198772
SCR-NC,empty,142.04676826882974,488.3580898349102,220.9155001056491,14170.222701797098,851.320358209389,37.500000287804724,4.5,4.5,false,KNITRO,205.46747242251524,512.0054124328097,237.84787630178246
SCR-NC,empty,122.04684505653944,389.9262376080818,258.69789339939007,14209.173561640648,770.6709760640113,35.00004638459227,5.0,5.0,false,KNITRO,235.5852929994158,512.0066060848964,225.84709225437226
SCR-NC,empty,164.59425279953226,498.18551590132364,283.8812179848586,14104.965729385403,946.6609866857145,41.87488550309776,5.5,5.5,false,KNITRO,225.17534997513212,464.87180422183076,242.38394882233246
SCR-NC,empty,216.67122125458548,732.3495697968349,300.34549311366015,14089.275762743997,1249.3662841650805,41.250080085349055,6.0,6.0,false,KNITRO,224.81375648238134,507.23003173766494,251.7456590523071
SCR-NC,empty,134.17640075572055,816.0463114867664,306.67751614506614,14096.812530817208,1256.9002283875532,41.24971655470263,6.5,6.5,false,KNITRO,246.5468275993916,532.8349015738548,246.76956652698667
SCR-NC,empty,263.7237493818408,676.544728645556,317.86364996935157,14098.046027871627,1258.1321279967483,41.25052102503459,7.0,7.0,false,KNITRO,260.10161610337525,529.9282563876895,254.49999999999966
SCR-NC,empty,217.2873140723153,590.8604867706601,290.94631408619017,14107.202136383276,1099.0941149291657,42.49991585641055,7.5,7.5,true,KNITRO,167.3619729342019,506.8069405134727,247.69406285795128
SCR-NC,empty,272.08499763680913,665.7584586419721,317.87205464336586,14095.625662170296,1255.7155109221471,41.25072831163283,8.0,8.0,true,KNITRO,233.23763350686272,572.4363864182344,233.9570637119134
SCR-NC,empty,250.3562895774725,696.0433017810265,301.7046861681906,14088.017780013248,1248.1042775266897,41.25120992873243,8.5,8.5,false,KNITRO,204.45414573043368,509.1798577126889,251.7464481462101
SCR-NC,empty,295.45793311600505,657.7766517485489,291.27905056882804,14084.440954220334,1244.513635433382,41.25206417623017,9.0,9.0,true,KNITRO,242.33443262245746,583.0835406350195,254.48564307194826
SCR-NC,empty,299.93282675479537,651.8076922986465,293.2230211298415,14084.876958589783,1244.9635401832834,41.2512249086014,9.5,9.5,true,KNITRO,244.9931140070525,585.0829535822063,251.74643634332952
SCR-NC,empty,275.69613265008763,680.1441635771265,286.67483128295277,14082.432678603835,1242.5151275101668,41.25137990388147,10.0,10.0,true,KNITRO,269.11508791847734,600.3677455267879,251.76999999999998
SCR-NC,empty,278.4394381107362,625.475844631,273.1104007101645,14016.939262576712,1177.0256834519007,41.25129466197906,10.5,10.5,false,KNITRO,241.1420699211789,564.947018495044,270.16999999999837
SCR-NC,empty,273.13170456581406,692.0502495797854,287.0987864982096,14092.190330445632,1252.2807406438092,41.250168414674775,11.0,11.0,false,KNITRO,267.423254436926,557.5425267181485,254.49166226297848
SCR-NC,empty,307.7095949831049,644.7354604770192,291.9903646424179,14084.35232287114,1244.435420102542,41.251202389154884,11.5,11.5,true,KNITRO,252.56852690134792,572.7620410067523,254.49101926144164
SCR-NC,empty,380.4319862752669,633.9001087263334,215.45007998294815,14069.704793034522,1229.7821749845484,41.25177847775819,12.5,12.5,false,KNITRO,235.57661434851423,602.2018997235806,237.7550465560456
SCR-NC,empty,335.6485951786595,646.5707968563502,259.2161479991623,14081.350060364914,1241.435540034172,41.25017682934804,13.0,13.0,true,KNITRO,335.6674518666769,464.9528603871603,254.48958622583189
SCR-NC,empty,254.5297285617582,688.1501521113487,307.0691294032392,14089.671133514523,1249.7490100763462,41.25172807795926,14.0,14.0,false,KNITRO,235.58810459525318,599.111306243884,232.19993073118147
SCR-NC,empty,228.01758172789454,722.6383684518042,302.35375713443983,14092.915983041243,1253.0097073141385,41.24987995316773,14.5,14.5,false,KNITRO,235.583855439018,509.17612277843887,230.48369854476405
SCR-NC,empty,271.5280323418109,682.6365053877015,288.9328794769408,14083.01722437872,1243.0974172064532,41.25178041564124,15.0,15.0,true,KNITRO,266.7442664045177,562.6688912341441,233.9505930327579
SCR-NC,empty,218.70162679151792,731.9435142087757,302.36441461219187,14092.918054085105,1253.0095556124854,41.24982833449377,15.5,15.5,false,KNITRO,235.58290375611918,579.2012653384004,242.4743312755307
SCR-NC,empty,121.31567083161548,823.7493572084991,317.80235344495236,14102.788396034066,1262.867381485067,41.249589483859786,16.0,16.0,false,KNITRO,238.80143211729785,604.5127797683269,232.14975216231187
SCR-NC,empty,229.7647206537497,727.8341865448194,294.1851401510796,14091.691382404953,1251.7840473496487,41.24988812576182,16.5,16.5,false,KNITRO,239.64693076660566,498.8263683671735,213.84331041614328
SCR-NC,empty,232.08117747637624,712.5486742882185,306.1695758571208,14090.713546538904,1250.7994276217155,41.25109870466378,17.0,17.0,false,KNITRO,229.34214476749918,556.5713050008669,254.4926670620732
SCR-NC,empty,250.95781350621056,693.756640111104,304.2326456921351,14088.859760181247,1248.9470993094496,41.25120501948621,17.5,17.5,false,KNITRO,200.0164455300399,598.8704212342432,242.48234495334253
SCR-NC,empty,105.9369952756581,838.1368868534685,317.8674432537139,14101.848797058627,1261.9413253828404,41.249839033354945,18.0,18.0,false,KNITRO,235.58034947793175,600.1442446784928,242.46942633807402
SCR-NC,empty,228.74411757737252,707.9885672166047,317.83658625006024,14094.478527249605,1254.5692710440376,41.2507887559643,18.5,18.5,false,KNITRO,225.69220669152017,496.30601736277345,242.49999999999937
SCR-NC,empty,208.8058786928513,741.0497153211991,307.95233544987343,14097.715680515987,1257.8079294639238,41.249843798761795,19.0,19.0,false,KNITRO,235.57468212927398,535.7626675146631,215.57277241355203
SCR-NC,empty,242.16029122496138,658.8307986050337,300.30087625183546,14018.606928628316,1201.2919660818307,43.75126371706895,19.5,19.5,false,KNITRO,222.22701486171903,464.9204996941264,242.47200721831473
SCR-NC,empty,114.36812932924502,830.6846720250198,317.8285064041178,14102.802993050282,1262.8813077583827,41.25000312058465,20.0,20.0,false,KNITRO,236.17453183675926,565.0113430069181,250.6285318559527
SCR-NC,empty,248.2733741484333,650.0086998574338,303.529414453851,14019.125819714853,1201.811488459718,43.7510702864176,20.5,20.5,false,KNITRO,227.30436030367855,509.19000612153513,254.47889366680647
SCR-NC,empty,305.27854000930506,640.7092792429404,302.3047861703643,14088.206172426102,1248.2926054226098,41.250696446328675,21.0,21.0,true,KNITRO,252.96247788992312,605.2303351933524,251.7571810943582
SCR-NC,empty,254.61322358831595,696.7759592674521,234.2354724952325,14002.92780694017,1185.6246553510005,43.75025282807699,21.5,21.5,false,KNITRO,258.2949805289942,462.7792977708168,222.98852263612935
SCR-NC,empty,112.08727080267434,776.8819977107651,321.2346723991496,14027.51221246655,1210.203940912589,43.74959074480345,22.0,22.0,false,KNITRO,240.21658880238897,596.1619673102934,237.8294189537273
SCR-NC,empty,312.20588998053097,656.3138968523174,270.4004857751993,14078.835611612694,1238.9202726080475,41.250930332896374,22.5,22.5,true,KNITRO,254.88707098357315,554.58720430555,249.02459240211257
SCR-NC,empty,258.78522914439844,632.8472398953317,319.4979906488433,14028.435599523611,1211.1304596885734,43.750393301322596,23.0,23.0,false,KNITRO,211.40333535565298,564.9533839927026,272.8940479274802
SCR-NC,empty,255.5327829729465,655.8240747687632,286.3592352522066,14015.026193003227,1197.7160929939164,43.751171210139745,23.5,23.5,false,KNITRO,231.39465424295167,520.3396429911704,225.84999999999866
SCR-NC,empty,249.28003195817325,649.0269361369824,303.30227205236133,14018.919468447157,1201.609240147517,43.75080942960928,24.0,24.0,false,KNITRO,226.0714714143577,464.936989211674,251.75726281221165
SCR-NC,empty,247.22511462077796,657.729522304958,292.7586786615747,14015.02419460981,1197.7133155873107,43.75083119941245,24.5,24.5,false,KNITRO,230.45342211124677,464.9370928496261,247.37751997344714
SCR-NC,empty,249.48254142096926,688.3116858890176,180.00670271718815,13935.113233719607,1117.800930027175,43.75079416310316,25.0,25.0,false,KNITRO,225.21602534721436,564.9500000000012,254.49719838533866
SCR-NC,empty,256.21184932625306,622.6402821514621,333.87226146561113,14030.042876766776,1212.7243929433262,43.75138990336403,25.5,25.5,false,KNITRO,241.63428562803716,519.8137837522142,254.47335703456952
SCR-NC,empty,248.20442460251226,651.3871071031411,301.57792773518986,14018.481494438265,1201.1694594408432,43.75097060001628,26.0,26.0,false,KNITRO,233.7933038157409,523.2720728684852,254.45888631225273
SCR-NC,empty,185.78110414988947,690.4048832989648,287.41925749112,13980.912101450738,1163.6052449399745,43.74996891429954,26.5,26.5,false,KNITRO,235.57809823115815,549.1142659508729,244.02658278804722
SCR-NC,empty,251.53157208497237,654.8491500018938,290.8518326928296,14014.551031031904,1197.2325547796959,43.751395266581596,27.0,27.0,false,KNITRO,232.3036984390834,464.93600833068695,246.65665939561012
SCR-NC,empty,279.659877024412,600.5889618615923,333.7663411195471,14031.333862715757,1214.0151800055514,43.751308207888755,27.5,27.5,false,KNITRO,223.96089276495064,468.974628466332,237.84999999999695
SCR-NC,empty,242.63258516340747,669.8308363122919,281.554286923244,14011.333432071602,1194.0177083989433,43.75129457363165,28.0,28.0,false,KNITRO,230.9239089850145,464.92337128181225,243.30335214170682
SCR-NC,empty,253.54264900275345,651.748866208617,293.4499347915251,14016.05122237347,1198.7414500028956,43.750573914321315,28.5,28.5,false,KNITRO,232.98202526075136,509.1618885210104,251.74212023516634
SCR-NC,empty,255.5554562483868,664.2762636349613,260.996276736331,13998.140377653415,1180.8279966196792,43.750596944223226,29.0,29.0,false,KNITRO,235.57817549614612,578.4627337746242,239.75798566720306
SCR-NC,empty,236.15835318171207,670.3130053060036,290.48361463824625,14014.26223294202,1196.954973125962,43.75049923633145,29.5,29.5,false,KNITRO,235.32014394866277,464.9200111841336,246.13710076127535
SCR-NC,empty,256.46755208450077,648.4798987412034,291.88967957275963,14014.148411263293,1196.8371303984638,43.75096876733637,30.0,30.0,false,KNITRO,235.58595772239505,582.1436651285583,249.02031699548112
SCR-NC,empty,204.03080115407278,699.814883220881,290.2208548540335,14011.384483094549,1194.0665392289875,43.75082912469839,30.5,30.5,false,KNITRO,235.60463170277038,571.8012770528546,248.99038937465022
SCR-NC,empty,294.40947693560975,627.6026430739834,272.03003747099825,14011.364550575727,1194.0421574805914,43.75152561845291,31.0,31.0,false,KNITRO,235.5761914939253,589.4149114212926,230.47464872455788
SCR-NC,empty,206.36234529770485,633.5497770257748,270.6202893455815,13927.849519956315,1110.5324116690613,43.751876022736646,31.5,31.5,false,KNITRO,235.5843297062751,599.4503693899103,230.49432652340016
SCR-NC,empty,248.8374741579911,657.4205088902909,291.184165041395,14014.762682833083,1197.442148089677,43.75148013005171,32.0,32.0,false,KNITRO,229.99356313857658,509.1809506924137,251.75120917647985
SCR-NC,empty,276.23300956685796,606.7416469412694,328.1548469404127,14028.451357062702,1211.1295034485402,43.75145482875107,32.5,32.5,false,KNITRO,214.48955393726845,513.3815233263355,237.84999999999582
SCR-NC,empty,248.28855673816037,645.8151120930781,310.2346472307518,14021.661718971474,1204.3383160619903,43.75167554651935,33.0,33.0,false,KNITRO,232.13169897188783,576.1364904188225,254.41605727333223
SCR-NC,empty,226.20016612023858,668.4838704179795,198.42468470549858,13910.43122305957,1093.1087212437167,43.75131340041285,33.5,33.5,false,KNITRO,240.10115550899133,564.9500000000011,270.1662511576996
SCR-NC,empty,244.5646634894503,662.2757470604363,288.9210843101387,14013.07953268421,1195.7614948600253,43.75138032686706,34.0,34.0,false,KNITRO,235.37047633685265,509.1834854640033,251.7535107437915
SCR-NC,empty,76.11786642737184,810.2023086829108,321.09146378540134,14024.721786882703,1207.411638895684,43.74958236113558,34.5,34.5,false,KNITRO,250.09299781728532,472.42500757788696,230.47263091759265
SCR-NC,empty,249.64639343165726,629.7363346260823,333.8546109229282,14030.550391115758,1213.2373389806678,43.75122463899993,35.0,35.0,false,KNITRO,225.32636102021416,464.9283706234178,254.46322274087504
SCR-NC,empty,253.15443690820973,648.3297489911627,301.4082052813379,14020.218369192662,1202.8923911807103,43.75189585242856,35.5,35.5,false,KNITRO,230.8999660502476,523.5298452197134,254.40295835099408
SCR-NC,empty,256.8128537057796,651.3679324278394,289.5245218219054,14015.013513368784,1197.7053079555244,43.75046072858659,36.0,36.0,false,KNITRO,235.52140279654373,464.93131789548454,245.21712466045778
SCR-NC,empty,242.70039627461523,652.4074296307651,312.4421584438544,14024.865435120759,1207.5499843492348,43.75084701202737,36.5,36.5,true,KNITRO,230.9501318770931,634.159317184403,254.49069572025277
SCR-NC,empty,258.19901413599536,625.0054160070363,333.84235586919283,14034.359792709885,1217.0467860122244,43.75140181005181,37.0,37.0,false,KNITRO,249.70026771008722,563.8448780821733,230.47990924049392
SCR-NC,empty,254.23966871171066,635.3702720224753,319.1031054002709,14026.029283680815,1208.7130461344568,43.75053858894354,37.5,37.5,false,KNITRO,229.73699183034705,577.2975948003635,254.441044948653
SCR-NC,empty,290.7049038703051,610.5526425849284,303.89916455516266,14022.473326242807,1205.156711010396,43.75117224892614,38.5,38.5,false,KNITRO,235.5855711039011,588.6140140446232,249.0175702608076
SCR-NC,empty,266.27609509334843,638.2623011979126,299.1431715823111,14020.995552629383,1203.681567873572,43.75075253495429,39.5,39.5,false,KNITRO,240.71073336659845,586.3208141497907,242.43002871219574
SCR-NC,empty,254.75582579234316,635.4626726315321,317.83032449827664,14025.369727237277,1208.0488229221519,43.75188439630722,40.0,40.0,false,KNITRO,224.7331339286959,509.17735087781057,254.46174163837006
SCR-NC,empty,282.2304620289519,609.1626751425849,319.59985944610236,14028.30731102227,1210.9929966176392,43.75136968667221,40.5,40.5,true,KNITRO,226.72192702871203,587.3784715415043,274.8026885255995
SCR-NC,empty,286.476553546602,615.6308649361176,302.7545695558166,14022.170209096328,1204.8619880385363,43.750653733747214,41.0,41.0,false,KNITRO,235.5857120874985,589.9373972531989,249.0237522896561
SCR-NC,empty,322.7579715687972,579.4536734480852,302.83470332292643,14022.360154898584,1205.046348339809,43.75082927740582,41.5,41.5,true,KNITRO,252.76851408113276,466.2130634707264,262.0570314381638
SCR-NC,empty,299.45433134655127,638.3683287513433,317.8423013873042,14095.571576545059,1255.6649614851988,41.25030855458635,42.0,42.0,true,KNITRO,289.67961190051005,505.5653711478933,251.62033819180124
SCR-NC,empty,276.53777810622046,606.6422542616822,333.8908579188363,14034.381513323273,1217.0708902867389,43.75076865024655,42.5,42.5,true,KNITRO,276.3459685226808,572.3718151443297,262.0556670198363
SCR-NC,empty,278.5783442466464,645.1534735922569,269.44584889208875,14010.493886376895,1193.1776667309919,43.75055663495552,43.0,43.0,true,KNITRO,276.2699998839573,610.7986847946481,254.49854706579447
SCR-NC,empty,318.48528533789124,597.9799327343659,280.81971644632,14014.594378343809,1197.284934518577,43.75069670114929,43.5,43.5,true,KNITRO,253.16999164305005,596.9058010784652,251.7644681873094
SCR-NC,empty,306.7685134286012,597.7586989322328,299.03591682841414,14020.877182018467,1203.5631291892482,43.75068741738939,44.0,44.0,true,KNITRO,247.64970598489998,533.202751029213,262.0550612217686
SCR-NC,empty,358.5120437863611,548.55162826926,299.7133979119857,14024.086925452626,1206.7770699676068,43.75077204056726,44.5,44.5,true,KNITRO,318.72568498382986,507.8159014035791,251.76470268934526
SCR-NC,empty,304.6890313659168,589.6771999576681,314.37231178297486,14026.050080771942,1208.7385431065597,43.7507289309195,45.0,45.0,true,KNITRO,241.11120810276034,556.6530083034562,262.05677615214523
SCR-NC,empty,299.6276510116203,614.9155449429688,283.28557855492085,14015.137050989519,1197.82877450951,43.75085764511713,45.5,45.5,false,KNITRO,235.083506576381,599.4780614880414,232.20723573874002
SCR-NC,empty,263.88032743246146,639.7330006272045,300.5873074609688,14021.509053521046,1204.2006355206347,43.750624825014484,46.0,46.0,false,KNITRO,235.58208853012286,595.1099254253348,230.48649434792168
SCR-NC,empty,310.96697929642914,587.3880135397239,309.3608666195787,14025.030096992112,1207.7158594557318,43.75098509493137,46.5,46.5,false,KNITRO,242.522159769882,573.2045799622458,232.21517958575157
SCR-NC,empty,311.6216467571345,607.4454791996857,279.3549401171263,14015.738329884047,1198.4220660739466,43.75056162031694,47.0,47.0,true,KNITRO,260.9314107504136,600.7657782130852,251.7636041890663
SCR-NC,empty,254.2706339421323,644.765426244489,303.71333532677556,14020.063551869072,1202.7493955133968,43.75104712424524,47.5,47.5,false,KNITRO,227.02167114533745,464.93861392292683,246.10006605921473
SCR-NC,empty,314.50402942756034,582.0606432110918,312.3876300777466,14026.271140085762,1208.9523027163987,43.75120178694128,48.0,48.0,false,KNITRO,254.7320484657097,568.0243797449492,238.06976689689935
SCR-NC,empty,252.06241665372187,651.4145258659089,267.79773920832474,13988.595263003896,1171.2746817279553,43.7511379325354,48.5,48.5,false,KNITRO,239.25301924807837,581.2467621708529,213.85000000000318
SCR-NC,empty,290.4205911936076,631.0314648744181,249.30737077719354,13988.06919508442,1170.7594268452192,43.750904047254956,49.0,49.0,false,KNITRO,244.9339775266902,510.4605075844596,213.85000000000358
SCR-NC,empty,307.75444000106154,586.4102246209902,300.09859495807785,14011.576767941804,1194.2632595801297,43.750919777674085,49.5,49.5,false,KNITRO,254.87733625690902,525.871366930379,242.46756919723492
SCR-NC,empty,314.82309775144336,597.9841874014128,289.0381904307218,14019.162296947314,1201.8454755835778,43.75105509981748,50.0,50.0,false,KNITRO,251.50166705477199,570.3506199795181,213.84689431278838
SCR-NC,empty,317.483887956044,602.9803889284472,276.19640764175705,14013.97794538902,1196.6606845262481,43.75130994971226,50.5,50.5,false,KNITRO,248.13322113566227,563.9280020541973,225.01259339514905
